0.041259,0.180926,0.429863,0.951617,2.600816,8.417228
0.043560,0.193996,0.480898,1.119000,3.352319,9.247303
0.050217,0.224218,0.571666,1.424160,4.096694,8.761945
0.057979,0.262234,0.688901,1.729384,4.308831,9.187557
0.067694,0.311204,0.809653,1.908171,4.571367,8.752605
0.076773,0.349038,0.914786,2.034891,4.504148,8.522368
0.083595,0.384028,0.970279,2.109191,4.574403,8.849816
0.087732,0.393425,1.008874,2.140231,4.488549,8.405794
0.083580,0.385010,0.980374,2.136406,4.498537,9.035016
0.076517,0.354317,0.917231,2.086501,4.500136,8.632374
0.068075,0.310687,0.823861,1.962315,4.539525,8.700133
0.059070,0.266244,0.695539,1.691362,4.311563,9.324199
0.049833,0.222835,0.581969,1.428813,4.078480,8.986213
0.043842,0.192693,0.479366,1.125417,3.336892,9.190294
0.041855,0.181564,0.436429,0.944182,2.545492,8.435474
0.043878,0.194338,0.480060,1.121974,3.340698,9.262286
0.045346,0.205417,0.544734,1.434030,4.986993,10.154890
0.052969,0.241634,0.692220,2.008936,6.311891,9.623830
0.064122,0.303194,0.906790,2.654732,6.664960,9.571350
0.077881,0.376901,1.106620,2.965733,6.776699,8.817503
0.090896,0.441813,1.261698,3.205160,6.712207,8.812372
0.101125,0.500649,1.354515,3.226542,6.506410,9.015252
0.103041,0.517598,1.387561,3.297276,6.912324,8.488969
0.103914,0.495484,1.358461,3.185272,6.523670,9.094532
0.093354,0.437877,1.249096,3.147373,6.924661,8.734804
0.077475,0.374944,1.094604,2.982818,6.864140,8.855455
0.065206,0.300612,0.889426,2.705826,6.606758,9.788427
0.052119,0.244815,0.681013,2.066650,6.362153,9.459173
0.045575,0.204378,0.538443,1.438305,4.975135,10.154455
0.044093,0.192866,0.476290,1.111079,3.256053,9.363428
0.049869,0.221995,0.575304,1.412847,3.965751,8.912083
0.052993,0.244913,0.679615,2.021290,6.550187,9.463311
0.064223,0.312010,0.950583,3.357525,8.554845,8.102521
0.083765,0.416003,1.421930,4.877393,8.229102,7.187465
0.112453,0.574161,1.968626,5.343584,8.691802,6.397114
0.137645,0.712702,2.237318,5.632835,8.307622,6.055906
0.164593,0.824916,2.455298,5.743987,7.961621,6.223009
0.172367,0.883599,2.522916,5.592113,8.585951,5.885185
0.162791,0.825406,2.428342,5.819876,8.094032,6.127950
0.136930,0.703982,2.206992,5.615235,8.396529,6.132841
0.110814,0.563162,1.923531,5.340228,8.507058,6.426161
0.083837,0.422838,1.417153,4.884703,8.383493,7.274520
0.063873,0.310449,0.970114,3.400402,8.540710,8.120300
0.052412,0.242677,0.683453,1.996039,6.431508,9.314814
0.050734,0.222211,0.576753,1.417810,4.003983,8.803066
0.059165,0.264031,0.687970,1.744397,4.281800,9.282691
0.065509,0.303487,0.901596,2.630433,6.484452,9.536013
0.086831,0.414105,1.413474,4.862770,8.284109,7.125516
0.120440,0.623459,2.457008,7.503225,7.577860,5.202726
0.169547,0.939794,3.711843,7.964975,7.125300,4.242769
0.234843,1.321276,4.371574,7.885589,6.631801,3.814996
0.291049,1.616558,4.723274,8.287888,6.200722,3.646826
0.334707,1.700293,4.819241,7.746173,6.498956,3.672149
0.291595,1.645564,4.607647,8.362218,6.279183,3.730409
0.234498,1.346540,4.321321,8.018488,6.592372,3.805121
0.167165,0.960398,3.740734,7.767491,7.203191,4.155481
0.123342,0.632423,2.449862,7.605019,7.692760,5.219914
0.083155,0.415684,1.438139,4.823687,8.243654,7.230846
0.063964,0.307367,0.893117,2.654228,6.533459,9.670920
0.058717,0.266466,0.694536,1.691997,4.189501,9.327264
0.069586,0.309081,0.812424,1.920396,4.395094,8.863807
0.079383,0.378143,1.123421,2.973385,6.743505,9.045587
0.111363,0.564063,1.934601,5.254304,8.529259,6.561759
0.172816,0.946116,3.834013,7.910895,7.265694,4.229662
0.292194,1.696884,6.443649,7.993134,5.318282,3.154054
0.448266,2.669144,7.412106,7.523688,4.434861,2.653633
0.612172,3.368136,7.179746,7.455669,4.018687,2.413520
0.703720,3.502251,7.866459,6.791551,3.928581,2.289862
0.651327,3.333354,7.270971,7.497799,4.075122,2.452108
0.436411,2.752195,7.229726,7.568831,4.454144,2.655406
0.271025,1.682309,6.341638,8.313031,5.313170,3.160976
0.174585,0.948567,3.854790,7.935347,7.210368,4.272386
0.111265,0.562770,1.934826,5.326542,8.716705,6.458076
0.080062,0.374500,1.099510,3.006410,6.943261,8.910522
0.068741,0.310941,0.810348,1.941617,4.438364,8.874615
0.077864,0.356143,0.920147,2.085565,4.529391,8.515001
0.091725,0.439826,1.253086,3.110418,7.010014,8.746636
0.139220,0.721530,2.261046,5.470829,8.460142,5.995390
0.231251,1.301626,4.360680,8.153804,6.811231,3.836191
0.446234,2.693915,7.268521,7.441553,4.431997,2.666190
0.818484,4.977815,8.347757,5.966034,3.258305,2.101954
1.412944,6.521200,8.059845,5.114807,2.756338,1.877344
1.710976,6.188095,8.538586,4.824286,2.625481,1.843473
1.409527,6.344477,8.104309,5.208246,2.745166,1.870316
0.823679,4.940559,8.335273,6.037665,3.196230,2.125450
0.443960,2.644780,7.304931,7.584947,4.437193,2.719176
0.237919,1.327180,4.331635,7.960754,6.676460,3.829035
0.138623,0.697257,2.242555,5.633873,8.381517,6.124197
0.090619,0.444515,1.243291,3.246244,6.797043,8.597646
0.076857,0.350684,0.912835,2.060450,4.505123,8.601155
0.084328,0.386789,0.991280,2.126332,4.439789,8.938955
0.101770,0.498117,1.368770,3.170069,6.612278,8.975885
0.159392,0.808873,2.409625,5.601646,7.761137,6.126818
