eval,cached,obj,mean,std,cv,dou,sim_s,p0,p1,p2,p3,p4,p5,p6,p7
78,0,0.06878628405245156,1193.7219133333333,78.3645497962797,0.06564724071911822,93.43527592808817,8.296860933303833,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,36.12435955822346,80.0
79,0,0.07166555834451316,1191.7797266666666,80.51118198207529,0.06755542167784648,93.24445783221536,8.248539209365845,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.77619861011575,80.0
80,0,0.06870560042491522,1193.6511066666665,78.22133420467675,0.06553115375824846,93.44688462417515,8.200728178024292,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,80.0
81,0,0.07010170447568147,1193.657468888889,79.89201831301999,0.066930438920126,93.3069561079874,8.510973930358887,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.908040516810836,80.0
82,0,0.1328188356602526,1044.3905486666667,57.45621652060964,0.055014109993586,94.4985890006414,8.411517858505249,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,51.73762078750735
83,0,0.07117143666631878,1132.077191111111,42.12462875889339,0.037210032221874294,96.27899677781258,8.482218027114868,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,68.26237921249263
84,0,0.07081608171119208,1185.2859266666667,75.21711301098205,0.06345904504452542,93.65409549554747,8.552209854125977,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,78.47524157501472
85,0,0.06993423753647923,1159.8322866666667,57.818081235438996,0.04985038086981259,95.01496191301874,8.51163387298584,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,73.49467326417562
86,0,0.06860610276747958,1161.7552733333332,57.48799523187195,0.04948373943414619,95.05162605658538,8.680588960647583,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,73.7984901788264
87,0,0.06939179847806601,1172.2370222222223,65.07124001545071,0.055510309589177166,94.4489690410823,8.587709903717041,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,75.89393384698643
88,0,0.06791218813215169,1165.9992466666667,59.36313381519095,0.05091181146548506,94.90881885345149,8.644762992858887,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.59887843855277
89,0,0.06935015318209814,1166.0541133333334,61.074660989075404,0.05237720984876482,94.76227901512353,8.640891790390015,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.68221185199769
90,0,0.06916977602688755,1163.3713511111112,59.16377541883255,0.050855451582443124,94.91445484175568,8.746188879013062,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.21982269662793
91,0,0.07006674932262758,1164.53226,60.943326229886736,0.052332879322627555,94.76671206773725,8.640342950820923,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.45409202876829
92,0,0.13708056651463907,1072.4911684444444,78.64164908130978,0.07332615073686125,92.66738492631387,9.090863943099976,25.0,49.464730687185536,44.79877082337792,53.570288797407386,32.719495621454385,39.70495162961967,34.33774545784261,72.37082122293673
93,0,0.06690709047721917,1168.5182399999999,59.78865021430963,0.05116621047721911,94.88337895227808,9.002624034881592,51.73762078750735,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.59887843855277
94,0,0.06666266924176543,1172.8927733333335,62.291227873556075,0.05310905590843217,94.68909440915678,9.434526205062866,68.26237921249263,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.59887843855277
95,0,0.06819878328691001,1174.19116,64.92615256931832,0.055294363286910043,94.470563671309,8.823734998703003,78.4752415750147,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.59887843855277
96,0,0.06686377566571279,1172.2355911111113,62.106883458559025,0.05298157122126842,94.70184287787316,8.436292171478271,61.196972052366625,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.991373909601705,74.59887843855277
